Subject,SubjectGroup,CommonSubjectLabel,qualification,year,SubjectTaken,SCQFLevel
Mathematics II,Maths,Math,CSYS,2001,Yes,7
Mathematics II (Revised),Maths,Math,CSYS,1992,Yes,7
Mathematics III,Maths,Math,CSYS,1986,Yes,7
Mathematics III,Maths,Math,CSYS,1987,Yes,7
Mathematics III,Maths,Math,CSYS,1988,Yes,7
Mathematics III,Maths,Math,CSYS,1989,Yes,7
Mathematics III,Maths,Math,CSYS,1990,Yes,7
Mathematics III,Maths,Math,CSYS,1991,Yes,7
Mathematics III,Maths,Math,CSYS,1992,Yes,7
Mathematics III,Maths,Math,CSYS,1993,Yes,7
Mathematics III,Maths,Math,CSYS,1994,Yes,7
Mathematics III,Maths,Math,CSYS,1995,Yes,7
Mathematics III,Maths,Math,CSYS,1996,Yes,7
Mathematics III,Maths,Math,CSYS,1997,Yes,7
Mathematics III,Maths,Math,CSYS,1998,Yes,7
Mathematics III,Maths,Math,CSYS,1999,Yes,7
Mathematics III,Maths,Math,CSYS,2000,Yes,7
Mathematics III,Maths,Math,CSYS,2001,Yes,7
Mathematics III (Revised),Maths,Math,CSYS,1992,Yes,7
Mathematics IV,Maths,Math,CSYS,1986,Yes,7
Mathematics IV,Maths,Math,CSYS,1987,Yes,7
Mathematics IV,Maths,Math,CSYS,1988,Yes,7
Mathematics IV,Maths,Math,CSYS,1989,Yes,7
Mathematics IV,Maths,Math,CSYS,1990,Yes,7
Mathematics IV,Maths,Math,CSYS,1991,Yes,7
Mathematics IV,Maths,Math,CSYS,1992,Yes,7
Mathematics IV,Maths,Math,CSYS,1993,Yes,7
Mathematics IV,Maths,Math,CSYS,1994,Yes,7
Mathematics IV,Maths,Math,CSYS,1995,Yes,7
Mathematics IV,Maths,Math,CSYS,1996,Yes,7
Mathematics IV,Maths,Math,CSYS,1997,Yes,7
Mathematics IV,Maths,Math,CSYS,1998,Yes,7
Mathematics IV,Maths,Math,CSYS,1999,Yes,7
Mathematics IV,Maths,Math,CSYS,2000,Yes,7
Mathematics IV,Maths,Math,CSYS,2001,Yes,7
Mathematics IV (Revised),Maths,Math,CSYS,1991,Yes,7
Mathematics of Mechanics,Maths,Math,AdvancedHigher,2016,Yes,7
Mathematics of Mechanics,Maths,Math,AdvancedHigher,2017,Yes,7
Mathematics of Mechanics,Maths,Math,AdvancedHigher,2018,Yes,7
Mathematics of Mechanics,Maths,Math,AdvancedHigher,2019,Yes,7
Mathematics of Mechanics,Maths,Math,AdvancedHigher,2020,Yes,7
Mathematics of Mechanics,Maths,Math,AdvancedHigher,2021,Yes,7
Mathematics V,Maths,Math,CSYS,1986,Yes,7
Mathematics V,Maths,Math,CSYS,1987,Yes,7
Mathematics V,Maths,Math,CSYS,1988,Yes,7
Mathematics V,Maths,Math,CSYS,1989,Yes,7
Mathematics V,Maths,Math,CSYS,1990,Yes,7
Mathematics V,Maths,Math,CSYS,1991,Yes,7
Mathematics V,Maths,Math,CSYS,1992,Yes,7
Mathematics V,Maths,Math,CSYS,1993,Yes,7
Mathematics V,Maths,Math,CSYS,1994,Yes,7
Mathematics V,Maths,Math,CSYS,1995,Yes,7
Mathematics V,Maths,Math,CSYS,1996,Yes,7
Mathematics V,Maths,Math,CSYS,1997,Yes,7
Mathematics V,Maths,Math,CSYS,1998,Yes,7
Mathematics V,Maths,Math,CSYS,1999,Yes,7
Mathematics V,Maths,Math,CSYS,2000,Yes,7
Mathematics V,Maths,Math,CSYS,2001,Yes,7
Mathematics V (Revised),Maths,Math,CSYS,1992,Yes,7
Biology,Sciences,Biology,National3,2014,Yes,3
Biology,Sciences,Biology,National3,2015,Yes,3
Biology,Sciences,Biology,National3,2016,Yes,3
Biology,Sciences,Biology,National3,2017,Yes,3
Biology,Sciences,Biology,National3,2018,Yes,3
Biology,Sciences,Biology,National3,2019,Yes,3
Biology,Sciences,Biology,National3,2020,Yes,3
Biology,Sciences,Biology,National3,2021,Yes,3
Biology,Sciences,Biology,Intermediate1,2000,Yes,4
Biology,Sciences,Biology,Intermediate1,2001,Yes,4
Biology,Sciences,Biology,Intermediate1,2002,Yes,4
Biology,Sciences,Biology,Intermediate1,2003,Yes,4
Biology,Sciences,Biology,Intermediate1,2004,Yes,4
